"Sitemap","Sitemap"
"OK, but not change within last 24h","OK, aber nicht innerhalb der letzten 24 Std. geändert"
"OK","OK"
"Sitemap file not found","Sitemap-Datei nicht gefunden"
"No Sitemap","Keine Sitemaps"
"Product Types","Produkttypen"
"ID","ID"
"Filename","Dateiname"
"Path","Pfad"
"Status","Status"
"Execute Check","Prüfung ausführen"
"No information available","Keine Informationen verfügbar"
"Shop Configuration","Shop-Konfiguration"
"Configuration Parameter","Konfigurationsparameter"
"Configuration Path","Konfigurationspfad"
"Configuration Value","Konfigurationswert"
"Configuration Recommendation","Konfigurationsempfehlung"
"Logfile Size", "Logfile Größe"
"Service","Service"
"Status", "Status"
"Webserver", "Webserver"
"Maximum execution time (PHP)", "Maximale Scriptlaufzeit (PHP)"
"Memory Limit", "Speicher-Limit"
".htaccess", ".htaccess"
".htaccess exists", ".htaccess vorhanden"
".htaccess does not exist", ".htaccess nicht vorhanden"
"Admin-URL", "Admin-URL"
"Shop-Status","Shop-Status"